subject ID,contrast entropy value
1,1.894639779
2,1.605183703
3,1.737910586
4,1.874229987
5,1.59662522
6,1.847877533
7,1.822922156
8,1.792061075
9,1.852754975
10,1.899669546
11,1.703034622
12,1.886390457
13,1.849692727
14,1.827497053
15,1.926363524
16,1.760634581
17,1.666287816
18,1.774193287
19,1.801786441
20,1.742187721
21,1.768837299
22,1.796404907
23,1.801819792
24,1.712386411
25,1.84321315
26,1.860709019
27,1.821163554
28,1.732029463
29,1.995372516
30,1.813258534
31,1.842655665
32,1.637368527
33,1.600000502
34,1.786503101
35,1.73641132
36,1.847721174
37,1.83137954
38,1.88899577
39,1.917215115
40,1.883697481
41,2.063018674
42,1.754799207
43,1.786678119
44,1.952756255
45,1.667923603
46,1.659493645
47,1.786379108
48,1.929422423
49,1.80016162
50,1.655514824
51,1.851061877
52,1.808142753
53,1.923977403
54,1.907231237
55,1.912922772
56,1.68544296
57,1.777376337
58,1.616241781
59,1.818844156
60,1.870469353
61,1.593975203
62,1.934779485
63,1.88982532
64,1.8857411
65,1.820924439
66,1.965085166
67,1.810880788
68,1.863705149
69,1.715741318
70,1.784163269
71,1.718626376
72,1.765282762
73,1.880380793
74,1.807412955
75,1.778788935
76,1.835232006
77,1.857857408
78,1.576334818
79,1.969230268
80,1.780087698
81,1.999369946
82,1.770287556
83,1.84621725
84,1.847637761
85,1.860030497
86,1.946246852
87,1.803645902
88,1.751116635
89,1.7696724
90,1.847975185
91,1.685600506
92,1.66418822
93,1.787812024
94,1.683605665
95,1.597591158
96,1.652952144
97,1.692676493
98,2.034966822
99,1.88982825
100,1.735628612
101,1.798874999
102,1.801467949
103,1.706561371
104,1.82907897
105,1.970291077
106,1.835255444
107,1.882824228
108,1.962407625
109,1.604595563
110,1.800251253
111,1.883026093
112,1.754403132
113,1.754362595
114,1.870082703
115,1.761955456
116,1.771391354
117,1.813575963
118,1.768238185
119,1.706955599
120,1.723812601
121,1.722325685
122,1.726014415
123,1.694784831
124,1.772814037
125,1.653328711
126,1.889096711
127,1.882264669
128,1.768277587
129,1.596647509
130,1.758679083
131,1.786646373
132,1.740863367
133,1.723061979
134,1.826217097
135,1.83725795
136,1.807054964
137,1.929438478
138,1.841462365
139,1.760515088
140,1.562579735
141,1.902868415
142,1.876555083
143,1.662552829
144,1.955148352
145,1.734335194
146,1.760467602
147,1.822160888
148,1.828500155
149,1.8281567
150,1.792618565
151,1.857335828
152,1.76567384
153,1.84948394
154,1.636528559
155,1.635323398
156,1.821769395
157,1.928470645
158,1.52477526
159,1.674830819
160,1.708361783
161,1.854503468
162,1.750459232
163,1.646052379
164,1.866464477
165,1.794896309
166,1.903189758
167,1.467145744
168,1.929291766
169,1.878010433
170,1.851824315
171,1.842153937
172,1.887546367
173,1.843336128
174,1.528360817
175,1.396839668
176,1.77364874
177,1.715548449
178,1.794578645
179,1.773942277
180,1.854403333
181,1.821286207
182,1.868520078
183,1.764580395
184,1.696020336
185,1.789959796
186,1.88849379
187,1.696912522
188,1.839404033
189,1.918935288
190,1.658062649
191,1.915525607
192,1.816473595
193,1.951328826
194,1.803887698
195,1.823497279
196,1.587753053
197,1.680562795
198,1.878190515
199,1.820003491
200,1.708604872
201,1.776059617
202,1.633397507
203,1.569656224
204,1.961948681
205,1.788996109
206,1.813478878
207,1.769607203
208,1.817831617
209,1.898859229
210,1.944346871
211,1.903953357
212,1.879303866
213,1.911803346
214,1.729958876
215,1.723041328
216,1.573218171
217,1.67853848
218,1.52860579
219,1.581826984
220,1.855270922
221,1.688005234
222,1.960845275
223,1.879194836
224,1.818387256
225,1.789822844
226,1.659602007
227,1.645498267
228,1.8092148
229,1.704007422
230,1.946622744
231,2.076699094
232,1.944701206
233,1.749567061
